pair,date,open,high,low,close,max_up_pips,max_down_pips,max_profit,max_loss,daily_return,rolling_std,label,high_impact_count,medium_impact_count,low_impact_count,max_z_score,sum_signal,dominant_direction,max_surprise_z,sum_signal_surprise
USDJPY,2025-03-28,151.031,151.208,149.68,149.83,1770,13510,0.1171944832517777,-0.894518343916149,-0.7952009852281938,0.4834535640428356,4.0,1.0,2.0,3.0,0.995349299757274,-0.11994227699718923,0.07245639121512448,0.995349299757274,-0.11994227699718923
USDJPY,2025-03-31,149.633,150.267,148.697,149.919,6340,9360,0.4237033274745451,-0.6255304645365708,0.1911343086083961,0.4488398120756932,2.0,0.0,0.0,4.0,0.6031179086342265,1.086835248867454,0.2717088122168635,0.6031179086342265,1.086835248867454
USDJPY,2025-04-01,149.887,150.14,148.97,149.63,2530,9170,0.1687938246812504,-0.6117942183111288,-0.1714625017513226,0.4486713771793808,0.0,2.0,2.0,7.0,1.6961629007001848,0.07671009570236854,0.0969237041941937,1.6961629007001848,-0.02560871625782246
USDJPY,2025-04-02,149.641,150.491,148.658,148.686,8500,9830,0.5680261425678943,-0.656905527228503,-0.6381940778262536,0.4518357547793923,0.0,1.0,0.0,3.0,0.5318694072992399,1.2278416782837034,0.08948631153374469,0.5318694072992399,1.2278416782837034
USDJPY,2025-04-03,148.68,148.702,145.182,145.934,220,34980,0.014796879203653,-2.3527037933817723,-1.846919558783972,0.60143390584705,5.0,2.0,1.0,4.0,1.0278858959378152,-4.5012679410213385,-0.2583507441829353,1.0278858959378152,-3.9771438391498943
USDJPY,2025-04-04,145.938,147.432,144.544,146.935,14940,13940,1.023722402664145,-0.9552001534898223,0.6831668242678495,0.623451123076442,6.0,3.0,0.0,1.0,0.7790465001452833,2.7139167306114027,0.17420687292234285,0.758568203199483,2.652481839774002
USDJPY,2025-04-07,145.587,148.149,144.813,147.705,25620,7740,1.7597725071606751,-0.5316408745286331,1.454800222547359,0.7007320956221227,0.0,0.0,0.0,2.0,0.2998867012508256,-0.009494404215341812,-0.004747202107670906,0.2998867012508256,-0.009494404215341812
USDJPY,2025-04-08,147.717,148.121,145.958,146.283,4040,17590,0.273495941563934,-1.1907904980469508,-0.9707751985215146,0.7330770226195709,5.0,0.0,0.0,5.0,1.5970267776922151,-2.6628245154752586,-0.5325649030950517,1.5970267776922151,-2.9349974843408555
USDJPY,2025-04-09,146.285,148.281,143.991,147.368,19960,22940,1.364459787401312,-1.5681717195884628,0.7403356461701462,0.7486089278128861,0.0,0.0,1.0,4.0,1.0798264049255843,0.7837741258846035,0.18122288423142816,1.0798264049255843,0.5588284695866759
USDJPY,2025-04-10,147.362,147.71,144.004,144.476,3480,33580,0.2361531466728282,-2.278742145193472,-1.9584424749935505,0.8679284721466628,1.0,4.0,1.0,4.0,1.4337483757117169,-8.431347690265328,-0.2815705426603877,1.4337483757117169,-8.66987284433849
USDJPY,2025-04-11,144.495,144.552,142.06,143.49,570,24350,0.0394477317554157,-1.6851794179729418,-0.6955257967403685,0.8641442377662619,2.0,4.0,0.0,1.0,2.8541399196437585,-11.44745116785073,-1.0989514449565383,2.9377965759113294,-11.698421136653444
USDJPY,2025-04-14,143.751,144.08,142.226,142.963,3290,15250,0.2288679730923664,-1.060862185306541,-0.5481700996862706,0.8638309937324238,3.0,0.0,0.0,1.0,0.1293053100416221,-0.1293053100416221,-0.1293053100416221,0.1293053100416221,-0.1293053100416221
USDJPY,2025-04-15,142.962,143.594,142.593,143.169,6320,3690,0.4420755165708405,-0.2581105468586056,0.1447937214085016,0.8651757986153045,1.0,0.0,1.0,1.0,0.8646772811257234,-0.416239150989332,-0.32022910802876386,0.8646772811257234,-0.416239150989332
USDJPY,2025-04-16,143.18,143.282,141.638,141.717,1020,15420,0.0712389998603183,-1.0769660567118324,-1.0217907528984451,0.8860023481627423,4.0,2.0,0.0,6.0,1.8415488308573345,4.145855189365777,0.09245876434152236,1.853548893469481,4.183047664243924
